country ,cost,Percent ,population
Albania,3.952,37.8,1.1
Algeria,3.763,35.2,14.6
Angola,4.327,92.9,27.7
Anguilla,3.717,..,..
Antigua and Barbuda,4.112,..,..
Argentina,3.341,11,4.8
Armenia,3.096,40.9,1.2
Aruba,3.418,..,..
Australia,2.259,0.7,0.2
Austria,2.772,0.6,0.1
Azerbaijan,2.348,0,0
"Bahamas, The",4.276,..,..
Bhutan,4.383,..,..
Botswana,3.622,77.4,123.7
Brazil,2.809,..,..
British Virgin Islands,3.235,0.8,0.1
Brunei Darussalam,4.126,0.3,0
Cambodia,3.618,39.4,0.1
Cameroon,2.616,90.7,10.1
Canada,2.863,..,..
Cayman Islands,2.928,57.6,0.4
Central African Republic,3.423,30.2,3.4
Chad,2.831,..,..
Chile,3.053,4.6,0.2
China,2.571,63.8,1.4
Colombia,2.863,18.3,38.1
Comoros,..,..,..
"Congo, Dem. Rep.",2.921,..,..
"Congo, Rep.",3.343,11.3,0.8
Dominica,4,85.1,16.3
Dominican Republic,3.521,97.5,10.6
East Asia & Pacific,3.7,42.1,0.2
Ecuador,2.788,..,..
Eswatini,3.428,60.9,15
Ethiopia,3.108,0.7,0.3
Europe & Central Asia,2.954,..,..
Fiji,3.612,95.4,4.4
Finland,2.545,84.9,12.8
France,2.936,3.4,0.6
Gabon,3.358,14.3,199.3
"Gambia, The",2.942,24.7,12.1
Germany,2.786,..,..
Ghana,3.767,96.4,78.5
Greece,3.037,91.6,4.7
Grenada,5.382,16.2,0.8
Guinea,3.655,76.5,18.7
Guinea-Bissau,3.164,7.2,0.3
Guyana,4.629,..,..
Haiti,3.93,0.1,0
Iceland,2.213,0.4,0
India,2.824,0.2,0
Indonesia,4.129,64.6,0.6
"Iran, Islamic Rep.",3.005,..,..
Iraq,3.378,21.2,2.2
Ireland,2.397,24.6,553.2
Israel,2.436,18.9,3.2
Italy,2.885,76.2,73.5
Kenya,2.846,..,..
"Korea, Rep.",4.712,..,..
Kuwait,3.344,1,0
Kyrgyz Republic,2.97,74.8,0.8
Lao PDR,3.776,88.3,94
Latin America & Caribbean,3.619,4,32.7
Latvia,3.124,51.5,0.5
Lesotho,3.77,0.1,0
Liberia,4.018,0.1,0
Lithuania,3.003,36,0.7
Low income,3.084,69.2,1.5
Lower middle income,3.398,0.2,0.2
Luxembourg,2.492,64.4,18.8
Madagascar,2.987,4.3,0.5
Malawi,2.724,..,..
Malaysia,3.224,94.3,11.4
Maldives,3.581,87.4,1.6
Mali,2.9,47.8,0.4
Malta,3.494,82.7,9.1
Mauritania,3.451,1.5,17.4
Mauritius,3.313,53.7,5.1
Mexico,2.993,..,..
Middle East & North Africa,3.14,3.3,0.3
Moldova,2.46,0,0
Mongolia,4.544,74.9,1002.5
Montenegro,3.397,70.7,187.2
Montserrat,4.883,12,9.6
Morocco,2.71,53.3,20
